"date","muniYield1Y","muniYield2Y","muniYield5Y","muniYield10Y","muniYield30Y","treasuryYield3M","treasuryYield6M","treasuryYield1Y","treasuryYield2Y","treasuryYield5Y","treasuryYield10Y","treasuryYield30Y"
2016-09-13,0.67,0.74,1.04,1.55,2.28,0.35,0.53,0.58,0.79,1.23,1.72,2.45
2016-09-14,0.67,0.74,1.04,1.55,2.29,0.32,0.51,0.61,0.76,1.2,1.7,2.45
2016-09-15,0.69,0.76,1.05,1.56,2.3,0.28,0.48,0.59,0.73,1.19,1.7,2.47
2016-09-16,0.69,0.76,1.05,1.56,2.31,0.28,0.49,0.6,0.76,1.2,1.69,2.43
2016-09-19,0.69,0.76,1.05,1.56,2.32,0.24,0.47,0.6,0.77,1.21,1.7,2.45
2016-09-20,0.69,0.76,1.05,1.56,2.31,0.29,0.5,0.61,0.77,1.2,1.69,2.43
2016-09-21,0.71,0.78,1.06,1.57,2.32,0.21,0.42,0.6,0.78,1.19,1.66,2.38
2016-09-22,0.71,0.78,1.06,1.56,2.29,0.17,0.39,0.58,0.77,1.17,1.62,2.34
2016-09-23,0.72,0.79,1.04,1.52,2.27,0.17,0.39,0.58,0.75,1.15,1.62,2.34
2016-09-26,0.72,0.79,1.04,1.52,2.26,0.18,0.4,0.57,0.73,1.12,1.58,2.32
2016-09-27,0.72,0.79,1.04,1.51,2.26,0.25,0.42,0.57,0.75,1.11,1.56,2.28
2016-09-28,0.72,0.79,1.04,1.5,2.25,0.27,0.44,0.59,0.75,1.13,1.57,2.29
2016-09-29,0.72,0.79,1.04,1.51,2.26,0.25,0.42,0.57,0.73,1.12,1.56,2.28
2016-09-30,0.74,0.81,1.05,1.52,2.29,0.27,0.43,0.59,0.76,1.15,1.59,2.32
2016-10-03,0.76,0.83,1.06,1.54,2.32,0.3,0.44,0.61,0.79,1.18,1.63,2.34
2016-10-04,0.78,0.84,1.07,1.56,2.36,0.32,0.48,0.63,0.82,1.23,1.69,2.41
2016-10-04,0.78,0.84,1.07,1.56,2.36,0.32,0.48,0.63,0.82,1.23,1.69,2.41
2016-10-05,0.79,0.85,1.08,1.57,2.4,0.32,0.46,0.63,0.84,1.25,1.71,2.43
2016-10-06,0.8,0.86,1.1,1.62,2.44,0.32,0.46,0.63,0.85,1.28,1.74,2.45
2016-10-07,0.8,0.86,1.1,1.63,2.46,0.32,0.45,0.63,0.84,1.26,1.73,2.46
